# old_va new_va source_file:line | old_pattern -> new_pattern
# UNVERIFIED machine output: each line is a hypothesis, not a result.
007C0AB0 007CA7C0 EntityPlayer.zhl:17 | 558beca1????????535657 -> 558beca1??????0053565783b8????0200028bf17d5a80be
00753640 00759500 EntityPlayer.zhl:47 | 558bec83e4f88b55??83ec0c568bf1 -> 558bec83e4f88b550883ec0c568bf183be??130000197528
00789E50 00791A40 EntityPlayer.zhl:70 | 558bec6aff68????????64a1????????5081ecb8000000a1????????33c58945??535657508d45??64a3????????8bf9837f??01 -> 558bec6aff68??????0064a1000000005081ecb8000000a1b4????0033c58945f0535657508d45f464a3000000008b??83
007C4620 007CE6E0 EntityPlayer.zhl:82 | 558bec6aff68????????64a1????????5083ec54a1????????33c58945??535657508d45??64a3????????8bd9895d??8b45??85c0 -> 558bec6aff68??????0064a1000000005083ec54a1b4????0033c58945f0535657508d45f464a3000000008bd9895d??8b??0885??0f88??0e
007B3980 007BC740 EntityPlayer.zhl:88 | 558bec6aff68????????64a1????????5081ecec000000a1????????33c58945??535657508d45??64a3????????8bf9 -> 558bec6aff68??????0064a1000000005081ec????0000a1b4????0033c58945f0535657508d45f464a3000000008b??89????ffffff????????00??????????00f30f7e05??
007A9440 007B2230 EntityPlayer.zhl:115 | 558bec6aff68????????64a1????????5081ecd4040000 -> 558bec6aff68??????0064a1000000005081ec??040000a1b4????0033c58945f05657508d45f464a3000000008bf989bd??fdffff8b7508
007A0710 007A8FD0 EntityPlayer.zhl:133 | 558bec6aff68????????64a1????????5081ec88000000a1????????33c58945??5657508d45??64a3????????8bf9897d??688f000000 -> 558bec6aff68??????0064a1000000005081ec88000000a1b4????0033c58945f05657508d45f464a3000000008bf9897d8c????
0075D4B0 00763570 EntityPlayer.zhl:158 | 558bec6aff68????????64a1????????5081ecec060000 -> 558bec6aff68d2????0064a1000000005081ec??060000a1
0075D2D0 00763370 EntityPlayer.zhl:161 | 558bec6aff68????????64a1????????5083ec20535657a1????????33c5508d45??64a3????????894dec -> 558bec6aff685d????0064a1000000005083ec20535657a1b4????0033c5508d45f464a300000000894d
007896A0 007911C0 EntityPlayer.zhl:170 | 558bec8b55??33c081c174150000 -> 558bec8b550833c081c1??15000066903911740c4083c120
007A3A40 007AC7E0 EntityPlayer.zhl:210 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505383ec68a1????????33c58945??5657508d45??64a3????????8bf9897d??8b4b -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec68a1b4????0033c58945ec5657508d45f464a3000000008bf9897db88b??088b43
007C1150 007CAE60 EntityPlayer.zhl:240 | 558bec83e4f851a1????????53565783b8????????028bf9 -> 558bec83e4f851a1??????0053565783b8????0200028bf97c0eb8a00000005f
0079FD90 007A8350 EntityPlayer.zhl:246 | 558bec83ec34a1????????33c58945??5356576a20 -> 558bec83ec34a1b4????0033c58945fc5356576a????????
00788560 0078FF90 EntityPlayer.zhl:267 | 558bec83e4f8a1????????83ec1c83b8????????02 -> 558bec83e4f8a1??????0083ec??83b8????0200025356578bd98db0e0bb0100
007D1CD0 007DB740 EntityPlayer.zhl:276 | 558bec83e4f883ec0c5356576a0068????????8bf1 -> 558bec83e4f883ec0c5356576a0068bc0200008b??e8????f9
00786960 0078E1F0 EntityPlayer.zhl:293 | 558bec83e4f881ecc8000000a1????????33c4898424????????5657ff75 -> 558bec83e4f881ecc8000000a1b4????0033c4898424c400000056??????
007CD3A0 007D6670 EntityPlayer.zhl:323 | 558bec6aff68????????64a1????????5081ecfc000000535657a1????????33c5508d45??64a3????????8bf1 -> 558bec6aff68??????0064a1000000005081ec??000000535657a1b4????0033c5508d45f464a3000000008bf18975??8b86??17
007B67F0 007BF6C0 EntityPlayer.zhl:341 | 558bec83e4f081ec480100008b55 -> 558bec83e4f081ec480100008b??18??????????????5785
00798B90 007A0970 EntityPlayer.zhl:415 | 558bec83e4f081ecb8000000a1????????33c4898424????????8b45 -> 558bec83e4??81ec??000000a1b4????0033c4898424??0000008b4508568bf1c74424??
007B0A80 007B9940 EntityPlayer.zhl:491 | 558bec83e4f8515356578bf98b87 -> 558bec83e4f8515356578bf98b873c12000085c0787869f0
005C8640 005C88A0 EntityPlayer.zhl:509 | 558bec6aff68????????64a1????????5083ec58535657a1????????33c5508d45??64a3????????8bf9 -> 558bec6aff68??????0064a1000000005083ec58535657a1b4????0033c5508d45f464a3000000008bf9897dec33c08945
007CA970 007D3E40 EntityPlayer.zhl:537 | 558bec83e4f083ec38568bf1 -> 558bec83e4f083ec38568bf1578974241ce8??????ff660f
007537E0 007596A0 EntityPlayer.zhl:540 | 558bec83e4f851538b5d??568b75 -> 558bec83e4f851538b5d0c568b7508578bf9f6c301743980
0078BBF0 00793970 EntityPlayer.zhl:580 | 558bec6aff68????????64a1????????5081ece8010000a1????????33c58945??53 -> 558bec6aff68??????0064a1000000005081ec????0000a1b4????0033c58945f0535657508d45f464a3000000008bf98b5d088b03
007B9CC0 007C3100 EntityPlayer.zhl:592 | 558bec5356578bf98b4d -> 558bec5356578bf98b4d088bc1250020000083c800740932
007A5660 007AE4B0 EntityPlayer.zhl:601 | 538bdc83ec0883e4f883c404558b6b??896c24??8bec6aff68????????64a1????????505383ec40a1????????33c58945??5657508d45??64a3????????8bf9897d??83bf????????00 -> 538bdc83ec0883e4f883c404558b6b04896c24048bec6aff68??????0064a100000000505383ec40a1b4????0033c58945ec5657508d45f464a3000000008bf9897d??83bf??260000
0076B900 007729D0 EntityPlayer.zhl:686 | 558bec6aff68????????64a1????????5081ec3c010000 -> 558bec6aff68??????0064a1000000005081ec??010000a1b4????0033c58945f05657508d45f464a3000000008bf989bd??feffff83bf??
0042CEA0 00431310 EntityRef.zhl:1 | 558bec83e4f88b55??83ec0c53 -> 558bec83e4f88b550883ec0c53568bf15785d274258b4228
004D0AA0 004D6EE0 EntitySaveState.zhl:4 | 558bec6aff68????????64a1????????505657a1????????33c5508d45??64a3????????8bf98d77??c745??000000008b4e??85c974??8b018b40??ffd084c074??a1????????85c074??56ffd083c4048d77??c745??010000008b4e??85c974??8b018b40??ffd084c074??a1????????85c074??56ffd083c4048b4d??64890d????????595f5e8be55dc3??????????????????????????????????????55 -> 558bec6aff68??????0064a100000000505657a1b4????0033c5508d45f464a3000000008bf98d776cc745fc000000008b4e0485c9741a8b018b400cffd084c0740fa1??????0085c0740656ffd083c4048d7764c745fc010000008b4e0485c9
006602A0 00663AA0 EntitySlot.zhl:4 | 558bec81ec94000000a1 -> 558bec81ec??000000a1b4????0033c58945fc53568bd9c7
006626F0 00665500 EntitySlot.zhl:7 | 558bec83e4f8518b4508538b -> 558bec83e4f8518b450853????????89??400500008b??2c
00660DB0 00664560 EntitySlot.zhl:38 | 558bec83e4f881ec8c000000a1????????33c4898424????????538bd95657895c24??8b4b -> 558bec83e4f881ec??000000a1b4????0033c4898424??000000538bd95657895c24??8b
00672A60 00675FC0 EntityTear.zhl:22 | 558becf30f1055 -> 558becf30f10??08568bf10f28??f30f11??10040000e845
009E8D20 00A1A730 Font.zhl:1 | 558bec6aff68????????64a1????????5081ec44040000 -> 558bec6aff68??????0064a1000000005081ec??040000a1b4????0033c58945f0535657508d45f464a3000000008bf9
006F51C0 006F9000 Game.zhl:13 | 558bec6aff68????????64a1????????5083ec78a1????????33c58945??535657508d45??64a3????????8bf1 -> 558bec6aff68??????0064a1000000005083ec78a1b4????0033c58945f0535657508d45f464a3000000008bf18975808b7d08
006FA210 006FE410 Game.zhl:28 | 558bec83e4f883ec448b45??53 -> 558bec83e4f883ec??8b450853568b751857894424??8bf9
